column,type,non_null,nulls,null_%,distinct,min,max,avg,examples
player_id,text,129439,0,0.0,3995,,,,"00-0021406, 00-0022555, 00-0020405, 00-0025951, 00-0035529"
player_name,text,67068,62371,48.19,1706,,,,"T.Thomas, M.Thomas, B.Bell, J.Ryan, L.Jones"
player_display_name,text,129439,0,0.0,3984,,,,"Anthony Wright, Spencer Nead, Jaydon Mickens, Brandon Jackson, Jeff Heuerman"
position,text,129370,69,0.05,28,,,,"CB, SS, P, ILB, DT"
position_group,text,129370,69,0.05,9,,,,"LB, DL, RB, QB, WR"
headshot_url,text,75382,54057,41.76,2496,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/leagu, https://static.www.nfl.com/image/upload/f_auto,q_auto/league, https://static.www.nfl.com/image/upload/f_auto,q_auto/league, https://static.www.nfl.com/image/upload/f_auto,q_auto/league, https://static.www.nfl.com/image/private/f_auto,q_auto/leagu"
recent_team,text,129439,0,0.0,32,,,,"DEN, HOU, NYJ, CHI, IND"
season,integer,129439,0,0.0,25,2000.0,2024.0,2012.3822881820780445,"2012, 2018, 2009, 2005, 2024"
week,integer,129439,0,0.0,22,1.0,22.0,9.5994329375226941,"11, 8, 19, 4, 21"
season_type,text,129439,0,0.0,2,,,,"POST, REG"
opponent_team,text,129439,0,0.0,32,,,,"DEN, HOU, NYJ, IND, CHI"
completions,integer,129439,0,0.0,47,0.0,47.0,2.1713548466845387,"42, 29, 4, 34, 41"
attempts,integer,129439,0,0.0,69,0.0,68.0,3.5125039593940003,"54, 29, 68, 4, 34"
passing_yards,real,129439,0,0.0,501,-16.0,527.0,24.693,"0.0, 154.0, 517.0, 96.0, 61.0"
passing_tds,integer,129439,0,0.0,8,0.0,7.0,0.15060375929974737135,"7, 1, 5, 4, 2"
interceptions,real,129439,0,0.0,8,0.0,7.0,0.095,"0.0, 3.0, 4.0, 1.0, 6.0"
sacks,real,129439,0,0.0,13,0.0,12.0,0.241,"4.0, 1.0, 9.0, 6.0, 8.0"
sack_yards,real,129439,0,0.0,78,0.0,91.0,1.568,"40.0, 39.0, 68.0, 11.0, 0.0"
sack_fumbles,integer,129439,0,0.0,6,0.0,5.0,0.03873639320452104852,"0, 1, 3, 5, 4"
sack_fumbles_lost,integer,129439,0,0.0,4,0.0,3.0,0.01851837545098463369,"0, 1, 3, 2"
passing_air_yards,real,129439,0,0.0,618,-18.0,770.0,22.28,"0.0, 154.0, 517.0, 96.0, 514.0"
passing_yards_after_catch,real,129439,0,0.0,277,-38.0,312.0,8.736,"0.0, 154.0, 174.0, 96.0, 61.0"
passing_first_downs,real,129439,0,0.0,30,0.0,29.0,1.194,"2.0, 12.0, 11.0, 0.0, 15.0"
passing_epa,real,16502,112937,87.25,16501,-38.89661,41.582783,0.851,"-1.537601, 6.7236357, 21.12977, 1.8948212, 15.912246"
passing_2pt_conversions,integer,129439,0,0.0,3,0.0,2.0,0.00570152736037824767,"0, 1, 2"
pacr,real,16089,113350,87.57,9244,-0.2857143,32.5,0.711,"1.1477273, 1.1491712, 0.65656567, 0.0, 0.6456212"
dakota,real,14463,114976,88.83,14460,-0.23071249,0.6480275,0.096,"0.18327832, 0.30609268, 0.066778705, -0.0119614005, 0.030373458"
carries,integer,129439,0,0.0,43,0.0,43.0,2.8220706278633179,"42, 29, 4, 34, 0"
rushing_yards,real,129439,0,0.0,268,-34.0,296.0,11.889,"180.0, 40.0, 39.0, 68.0, -28.0"
rushing_tds,integer,129439,0,0.0,7,0.0,6.0,0.08753930422824650994,"1, 5, 4, 2, 6"
rushing_fumbles,real,129439,0,0.0,5,0.0,4.0,0.047,"0.0, 3.0, 4.0, 2.0, 1.0"
rushing_fumbles_lost,real,129439,0,0.0,4,0.0,3.0,0.022,"0.0, 3.0, 2.0, 1.0"
rushing_first_downs,real,129439,0,0.0,16,0.0,15.0,0.645,"7.0, 2.0, 12.0, 11.0, 10.0"
rushing_epa,real,53706,75733,58.51,52863,-38.96089,19.179659,-0.414,"-1.3309389, 0.0, -0.6469381, 2.382331, -1.6982151"
rushing_2pt_conversions,integer,129439,0,0.0,3,0.0,2.0,0.00274260462457219231,"0, 1, 2"
receptions,integer,129439,0,0.0,21,0.0,21.0,2.1713625723313684,"4, 21, 0, 14, 3"
targets,integer,129439,0,0.0,25,0.0,28.0,3.1244833473682584,"11, 8, 19, 4, 21"
receiving_yards,real,129439,0,0.0,269,-22.0,329.0,24.692,"0.0, 154.0, 174.0, 96.0, 61.0"
receiving_tds,integer,129439,0,0.0,5,0.0,4.0,0.15060375929974737135,"0, 1, 3, 4, 2"
receiving_fumbles,real,129439,0,0.0,4,0.0,3.0,0.025,"0.0, 3.0, 2.0, 1.0"
receiving_fumbles_lost,real,129439,0,0.0,3,0.0,2.0,0.014,"0.0, 2.0, 1.0"
receiving_air_yards,real,129439,0,0.0,334,-70.0,414.0,20.178,"290.0, 180.0, 40.0, -25.0, 39.0"
receiving_yards_after_catch,real,129439,0,0.0,163,-56.0,189.0,8.739,"0.0, 62.0, -5.0, 96.0, 76.0"
receiving_first_downs,real,129439,0,0.0,16,0.0,16.0,1.194,"7.0, 2.0, 12.0, 11.0, 10.0"
receiving_epa,real,102981,26458,20.44,102916,-23.278263,25.490833,1.061,"-0.0089150015, 1.0818132, 4.4852567, -0.7597518, -7.964568"
receiving_2pt_conversions,integer,129439,0,0.0,3,0.0,2.0,0.00570152736037824767,"0, 1, 2"
racr,real,100731,28708,22.18,9561,-106.0,150.0,0.73,"-19.5, 0.65656567, 0.0, 0.74025977, 1.5257732"
target_share,real,102981,26458,20.44,606,0.014705882,1.0,0.131,"0.47826087, 0.35135135, 0.34375, 0.4722222, 0.028571429"
air_yards_share,real,80376,49063,37.9,23957,-9.0,8.0,0.128,"0.52334154, 0.0, 0.38940093, 0.25943395, 0.25144508"
wopr,real,80376,49063,37.9,70930,-5.8,5.85,0.282,"0.48456937, 0.2972754, 0.22305195, 0.11223404, 0.13562398"
special_teams_tds,real,129439,0,0.0,3,0.0,2.0,0.006,"0.0, 2.0, 1.0"
fantasy_points,real,129439,0,0.0,2075,-7.34,55.4,6.441,"29.34, 22.3, 0.0, 18.22, 28.8"
fantasy_points_ppr,real,129439,0,0.0,2160,-7.34,62.1,8.613,"55.1, 29.34, 22.3, 0.0, 18.22"
